Time (h)	Temperature (K)	Fission rate (fiss / m3 s)	Hydrostatic stress (MPa)	Grain radius (m)	Xe produced (at/m3)	Xe in grain (at/m3)	Xe in intragranular solution (at/m3)	Xe in intragranular bubbles (at/m3)	Xe at grain boundary (at/m3)	Xe released (at/m3)	Kr produced (at/m3)	Kr in grain (at/m3)	Kr in intragranular solution (at/m3)	Kr in intragranular bubbles (at/m3)	Kr at grain boundary (at/m3)	Kr released (at/m3)	Fission gas release (/)	Intragranular bubble concentration (bub/m3)	Intragranular bubble radius (m)	Intragranular gas bubble swelling (/)	Intergranular bubble concentration (bub/m2)	Intergranular atoms per bubble (at/bub)	Intergranular vacancies per bubble (vac/bub)	Intergranular bubble radius (m)	Intergranular bubble area (m2)	Intergranular bubble volume (m3)	Intergranular fractional coverage (/)	Intergranular saturation fractional coverage (/)	Intergranular gas swelling (/)	Intergranular fractional intactness (/)	Burnup (MWd/kgUO2)	U235 (at/m3)	U238 (at/m3)	
0	1550	1e+19	0	5e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e+13	0	0	0	0	0	0	0.5	0	1	0	7.209709e+26	2.301694e+28	
1	1550	1e+19	0	5.006382e-06	8.64e+21	8.425681e+21	8.425681e+21	0	2.143185e+20	0	1.08e+21	1.05321e+21	1.05321e+21	0	2.678982e+19	0	0	7.636282e+23	0	0	1.999959e+13	20.11842	10.00543	1.431883e-09	3.779834e-18	2.073463e-27	7.559512e-05	0.5	2.484933e-08	1	0.00122169	7.209709e+26	2.301694e+28	
2	1550	1e+19	0	5.012739e-06	1.728e+22	1.687531e+22	5.884547e+21	1.099077e+22	4.046857e+20	0	2.16e+21	2.109414e+21	7.355683e+20	1.373846e+21	5.058571e+19	0	0	1.087588e+24	0	0	1.999912e+13	38.03761	24.36472	1.8035e-09	5.996395e-18	4.143072e-27	0.0001199226	0.5	4.958835e-08	1	0.002443379	7.209709e+26	2.301694e+28	
3	1550	1e+19	0	5.019071e-06	2.592e+22	2.531446e+22	6.916336e+21	1.839813e+22	6.055352e+20	0	3.24e+21	3.164308e+21	8.64542e+20	2.299766e+21	7.56919e+19	0	0	1.225024e+24	4.619094e-11	5.057127e-07	1.999861e+13	56.98941	42.74939	2.091611e-09	8.065284e-18	6.462741e-27	0.0001612945	0.5	7.725285e-08	1	0.003665069	7.209709e+26	2.301694e+28	
4	1550	1e+19	0	5.025379e-06	3.456e+22	3.374537e+22	7.776066e+21	2.59693e+22	8.146327e+20	0	4.32e+21	4.218171e+21	9.720082e+20	3.246163e+21	1.018291e+20	0	0	1.217097e+24	5.496402e-11	8.465439e-07	1.999807e+13	76.76687	64.69691	2.335422e-09	1.005515e-17	8.99643e-27	0.0002010836	0.5	1.074016e-07	1	0.004886759	7.209709e+26	2.301694e+28	
5	1550	1e+19	0	5.031662e-06	4.32e+22	4.215866e+22	9.63666e+21	3.2522e+22	1.041342e+21	0	5.4e+21	5.269832e+21	1.204582e+21	4.06525e+21	1.301678e+20	0	0	1.201811e+24	6.191612e-11	1.194912e-06	1.999747e+13	98.25643	91.07327	2.560256e-09	1.208439e-17	1.185289e-26	0.0002416572	0.5	1.413218e-07	1	0.006108448	7.209709e+26	2.301694e+28	
6	1550	1e+19	0	5.03792e-06	5.184e+22	5.055463e+22	1.155471e+22	3.899992e+22	1.285366e+21	0	6.48e+21	6.319329e+21	1.444339e+21	4.87499e+21	1.606708e+20	0	0	1.186284e+24	6.702836e-11	1.496418e-06	1.999682e+13	121.4363	122.1518	2.771866e-09	1.416454e-17	1.504148e-26	0.0002832457	0.5	1.791108e-07	1	0.007330138	7.209709e+26	2.301694e+28	
7	1550	1e+19	0	5.044154e-06	6.048e+22	5.893374e+22	1.351127e+22	4.542248e+22	1.546257e+21	0	7.56e+21	7.366718e+21	1.688908e+21	5.67781e+21	1.932821e+20	0	0	1.173299e+24	7.147389e-11	1.794484e-06	1.999613e+13	146.2701	158.1325	2.973439e-09	1.629956e-17	1.85674e-26	0.0003259282	0.5	2.208157e-07	1	0.008551828	7.209709e+26	2.301694e+28	
8	1550	1e+19	0	5.050364e-06	6.912e+22	6.729674e+22	1.546907e+22	5.182767e+22	1.823262e+21	0	8.64e+21	8.412092e+21	1.933634e+21	6.478458e+21	2.279077e+20	0	0	1.162305e+24	7.543611e-11	2.090002e-06	1.999538e+13	172.6924	199.1607	3.166839e-09	1.848885e-17	2.243117e-26	0.0003696916	0.5	2.664282e-07	1	0.009773518	7.209709e+26	2.301694e+28	
9	1550	1e+19	0	5.056549e-06	7.776e+22	7.564433e+22	1.742564e+22	5.821869e+22	2.115668e+21	0	9.72e+21	9.455541e+21	2.178205e+21	7.277336e+21	2.644585e+20	0	0	1.152805e+24	7.904317e-11	2.38472e-06	1.999459e+13	200.6415	245.3625	3.353368e-09	2.073099e-17	2.663283e-26	0.0004145077	0.5	3.159344e-07	1	0.01099521	7.209709e+26	2.301694e+28	
